Date,Rating,Title,Review
"May 15, 2018",5,Happily surprised! LOVE ASOS.,"I see a lot of negative reviews, however i would like to share my positive experience. I ordered at the weekend and expected Wednesday - Items received a day early on Tuesday! I was notified all the time of updates on my order. The clothes I ordered were from ASOS brand instead of the others they sell. I normally shop on places such as missguided and boohoo but because of the price I don't expect much quality wise, so when i ordered Asos's own brand i thought it would be the same with some items having to go back but worth trying on because of the cheap price. However each item I received was such good quality and made form nice thick material they look like they were more expensive. The sizes were also consistent! I am so pleased and have completely been converted to an ASOS customer for my future purchases. I would recommend this company. (L) Thank you Asos for my quick and beautiful clothes - ready for my upcoming holiday! :D"
"May 15, 2018",1,They missed the estimated delivery date…,"They missed the estimated delivery date by one week. Order was supposed to be decor for a surprise bachelorette party. very frustrated with customer service, no explanation to the delay or any sort of help or compensation given.They falsely advertise their delivery dates and in doing so, are messing peoples plans. I won't be ordering form them again, for sure"
"May 15, 2018",1,AVOID ASOS AT ALL COSTS,"A month ago I placed an order for a few black summer dresses and paid for express shipping because I needed black clothes urgent. I have just lost a loved one, and where I come from we wear all black for at least a couple of months - I am not a very big fan of all black so I really needed some new clothes to get me by these couple of months. Unfortunately, four weeks on, my order never arrived despite my efforts to raise a flag almost as soon as I placed the order, as I knew that not receiving a tracking link within a few hours was bad news. Anyhow, customer care has apologized and advised me to place a replacement order, which I did. A week later I still haven't received a tracking link or my order. I have tried email but no one is replying. I have tried explaining that I really need black outfits and since apparently they cannot do the simple task of shipping an order, then they should at least give me back my money without further delay so I can go shop for black clothes. Nothing. They don't even care. It has now been a month and they still have my money (more than 200 pounds) and I still don't have any black clothes or money to go shop for some. I have tried being polite, even apologized after writing an angry email. I have tried reasoning with them. I have tried making them understand my situation hoping that they will be more sensitive. Nothing. Still no replies. Still no clothes. Still no refund. Asos online shop is incapable of letting people shop online. It's Russian roulette whether your order will be dispatched and it's a nightmare to get your hard earned money back. I have relied on them and they have let me down twice with no intention of fixing their mistake. Please avoid them. Do not make the same mistake as I did trusting them twice."
"May 15, 2018",4,great website but the app sometimes…,"great website but the app sometimes isn't that user friendly, sometimes quality of clothes is questionable but vast choice and speedy delivery"
"May 15, 2018",4,Great website,"Been reading all those one star reviews and I am surprised by all those bad experiences. Personally I haven't returned anything since I am buying from outside of Europe and return shipping would cost me equal or more than the value of the items I purchased. So if something doesn't fit, I just give it to friends or sell it.They do carry a lot of brands which is always great, and have sales most of the time. Usually orders takes 2-3 days to process and shipping is quite fast so no complain on that.The packing isn't the best (carboard box with some airfilled plastic bags to prevent items from moving around), for clothes or shoes its fine but for items that are more fragile like makeup, they do sometimes come slightly damaged.I love the fact that on the website, they do have short video clips of models wearing the items which gives a better idea of how it fits.Overall I still like them and would still recommend."
"May 14, 2018",1,Horrible order processing,"Horrible order processing. I purchased 2 dresses for my graduation ceremony. The first time they delivered me a faulty item, with a noticeable stain at the front side, right at the chest area. I requested for a replacement and they sent me a wrong dress. I contacted the customer service for a second replacement, and was told a new replacement would be delivered to me before my graduation ceremony started. They promised me I would have enough time to receive the dress and try it on. But that dress never arrived. Until I contacted the customer service again, they told me they canceled the order and refunded me my money. They made multiple mistakes when taking the process of my order and made a promise that would never be met. Last contact with the customer service, encountered bad attitude. Wouldn't buy from them ever again."
"May 14, 2018",1,Horrible company with a terrible return policy,Horrible company with a terrible return policy. I returned 2 items from an order recently because they didn't fit. Since I used a promo code they told me a would not be able to receive a refund or exchange. I basically just gave them back 2 shirts for FREE. Will not be shopping at asos again and do not recommend others do either unless you are 100% sure you will LOVE the product.
"May 14, 2018",1,Only order if you're keeping your item,Only order if you're keeping your item. Returns is a complete nightmare.
"May 14, 2018",1,NEVER order anything from here!,This has been my worst experience with an online shopping site ever! The site used to be good back in the day but now it's terrible. I have been waiting for over 2 month to get 250 euros back from them. Every single time I contact them they say that they can't give me a time estimate when I will finally receive my money. Please just please don't buy ANYTHING from this site!
"May 13, 2018",1,Only order if you know you'll keep your…,Only order if you know you'll keep your order. Items returned by collect plus (2nd may) . It does say up to 7 working day and they sure held up to that. Despite tracking saying they had my order (00:45 8th may) they denied this. Responses were robotic. It was at close of business on the 7th day (11th may)  I got an email saying they had my order back but then have to wait another 5-10 working days for the money to be back in my account. This is outwith their control apparently. Holding onto my money so they can gain interest on it.
"May 13, 2018",2,Fine until something goes wrong,"ASOS are fine as long as their service doesn’t go wrong. Then they are completely useless. Contacted live chat after Hermes claimed to have tried to deliver a package when they hadn’t been anywhere near my house at the time. Only found out through the online tracker - unsurprisingly no card had been put through the door as they had never been at the door. Got a “we use companies that mirror our standards” response, which says it all. Companies that have no idea what good customer service looks like. Having paid for premier delivery service, there’s little premier about it when they use the likes of Hermes for their deliveries. Will write off the cost of the premier service and go back to using more reliable and customer-focussed online retailers in future."
"May 13, 2018",1,Delays and lies,They delayed my order that I was supposed to receive a week ago and I have to wait for additional two weeks. When I emailed their Customer Service they gave me standardized robotic answers..  AVOID LIKE THE PLAGUE
"May 12, 2018",1,One annoyed customer,"I am disgusted with asos and their incompetent courier DPD. Having placed an order and paying for next day delivery, as normal, I received updates via email regarding the status of my order. This morning I was able to book a delivery window between 11am and 12midday. 11am came and went.. by 1:30pm still nothing. I have gone back and forth with asos and DPD to be told delivery was attempted at 11:12am. This is a absolute lie! The driver never came! Demi at asos was sooooo unhelpful and I am disgusted by the service I received. I am still waiting for this parcel and as the driver is not in the area, I have been told that he may “reattempt” this delivery that never took place in the first place!!! I order from asos regularly but this has changed everything. I am fuming. Moral of the story: Lying drivers and unhelpful customer service agents."
"May 12, 2018",1,Disgraceful customer service,"Disgraceful customer service. Ordered a parcel for next day delivery. DPD lost parcel which I had to find out myself. In contact with Asos multiple times I had to keep chasing them for answers. 16 DAYS after my parcel was due only then did they send out a new one. No refund or voucher to compensate, despite me being a regular and loyal customer, won’t be using them again."
"May 12, 2018",1,One of the worst experiences ever,"One of the worst experiences ever! More than a year ago i bought an abercrombie sweatshirt witch was fault but i didnt send that back because i was happy for getting it since i could not buy it from the online store, now i gave them a second chance on a pair of shoes and before my order i asked them too if the peoduct was as in the pictures but what i got was different and now i ll may lose the bank fee plus the conversion if i ll return them back to them and they dont answear on my emails neither they want to compensate me!just thing about it before you buy anything!"
"May 11, 2018",5,Actually I considered it pretty…,"Actually I considered it pretty risky ordering from Asos after reading all this negative comments. But I liked two dresses so much I decided to take this risk. Well, it was definitely worth it! The order came one day before the estimated time. One of the dresses was the perfect fit so I decided to keep it, the second one I returned. The return is for free, with very clear instructions. The money is back on my account (again, faster than the estimated time). Definitely recommend ordering from Asos."
"May 11, 2018",1,Appalling customer service,"Appalling customer service. No complaints procedure, discount code didn't work and they wouldn't honour it when I got in touch, customer service chat was like a robot spouting policies without being in the least bit human. Only option is to send everything back for a refund and then reorder. First and last attempt using ASOS, wish I'd read the reviews here first."
"May 11, 2018",5,Always perfect,"Always perfect! Good prices, fast delivery - Easy to shop at Asos when living in Sweden. Never needed customer service because they just delivery as I want them to!"
"May 10, 2018",1,Item delivered like it had been crushed!!!,"I ordered a pair of Adidas sliders from ASOS and not only did they not come next day delivery (as was paid for) but the parcel turned up with a torn open bag and the box looked like it had been ran over by a truck! When I contacted ASOS to express my displeasure with the state of the way the item was delivered, I basically got told 'it's not our responsibility', yet as the vendor I think it is 100% your responsibility to ensure that your items turn up in a state that a consumer would expect. I don't purchase items with any ounce of expectation that they would be delivered in such a state. I will certainly be looking to shop elsewhere from now on due to this experience!"
