Date,Rating,Title,Review
"February 16, 2021",5,Amazing customer service from the team,"Amazing customer service from the team at Asos this last few days!  A parcel i returned went missing and the people I dealt with were fantastic - polite, informative, asked for the info they needed and got back to me very quickly. Hugely impressed and very grateful, thanks guys!"
"February 16, 2021",5,thank u,thank u about that you enser
"February 16, 2021",5,"Excellent experience from Joshua ,Paul…","Excellent experience from Joshua ,Paul and Jean they’re very professionals giving good customer service for ASOS .I was disappointed with 2 issues but connecting with then I felt served from then giving me a solution"
"February 16, 2021",5,My order had been returned to ASOS…,My order had been returned to ASOS before it could get delivered to me and I had not received a refund ever since. I spoke to a colleague (Carl) via the open chat who was very helpful and sorted the situation out for me.
"February 16, 2021",1,Absolutely terrible,Absolutely terribleI spent weeks going back and fourth with a different person on every email. All I wanted was for my items that were lost in the post to be re-sent.Almost 1 month later and those items hadn't even been shipped yet Eventually I asked for a refund to get the nightmare over with.
"February 16, 2021",5,The customer care is very helpful and…,The customer care is very helpful and at your disposal. Great experience
"February 16, 2021",5,Very kind!,Very kind!Really helpfur to me
"February 16, 2021",5,Fab and speedy response to resolve my…,Fab and speedy response to resolve my issue
"February 16, 2021",5,The customer service officer is very…,The customer service officer is very attentive and helpful.
"February 16, 2021",1,Always keep blocking user accounts,"Always keep blocking user accounts, really inconvenient to the consumers"
"February 16, 2021",5,Jeffrey was very kind and really try to…,Jeffrey was very kind and really try to explained everything that I need to know.Great experience talking with Jeffrey.
"February 16, 2021",5,I have had something happen to my order…,I have had something happen to my order and that it was a theft case - Customer service answered my email right away. Still awaiting further instructions but hoping that I may still receive my two items even tho they were stolen at no additional charge.
"February 16, 2021",5,I didn’t receive my order,I didn’t receive my order. Reached out to customer care about the issue and it was solved by replacing the item
"February 16, 2021",5,The most amazing sweet Rammel helped…,The most amazing sweet Rammel helped me. She deserves a raise or a gift from you asos. She was the best.
"February 16, 2021",4,As usual ASOS is dope,"Received an email right away with the tracking and got my order on time (in a week) with everything I ordered. So as usual, ASOS is great with that. Only downside was that one of the shirts was crumpled for some reason in a bag with a rubbed out barcode and another ripped label on top, which was wierd asl. The shirt itself had no tag, but was in perfect condition despite it being creased. Washed it twice in case. Other than that small nitpick, I can't wait to buy from ASOS again!"
"February 16, 2021",4,Everything was fine except one wrong…,"Everything was fine except one wrong item that came But the customer care is working on it, and I hope it should be okay"
"February 16, 2021",5,Easy and quick customer service,Daniellamae was super polite and helpful in assisting me to get a refund for a package that never showed up to my home.
"February 16, 2021",5,good,"good, kind, fast."
"February 16, 2021",5,I haven't received my two orders placed…,I haven't received my two orders placed on Jan. 16th and jan.25th 2021. PatriciaMae refrence# 33557620 helped me so much! Very happy it got resolved!
"February 16, 2021",5,super friendly customer service,super friendly customer service. helped me solve my problem right away!
"February 16, 2021",5,Brylle was wonderful!!,Brylle was very helpful. She got back to me quickly and efficiently handled my problem. It is unfortunate that my item was not in stock but my experience with Brylle was wonderful.
"February 16, 2021",5,Marco is Amazing. Definitely an agent to keep!,Marco was the agent I received on my current issue. He was very understanding to my issue and reassuring that all will be done to rectify the issue I am currently having. Unless the last agent I spoke to which let's just left a lot to be desired.
"February 16, 2021",1,don't order,"don't order, every time I order with them its a complete mess. they won't give you a full refund just saying"
"February 16, 2021",5,Great help,"Great help, straight to the point"
"February 16, 2021",5,Great service,Very polite and sorted get issue straight away
"February 16, 2021",5,"Charles ""The Easy Button!""",Charles helped me out tonight. The chat feature was very helpful! I was missing a part that comes with my order. And was given options to resolve the issue which I really appreciate. My issue was resolved quick and easy! Like I had an easy button! Thanks sooooo much Charles! Thanks ASOS!
"February 16, 2021",5,The customer service rep I spoke to was…,"The customer service rep I spoke to was more than helpful, rarely do I have an issue with shopping at ASOS and when I do they are very quick to help."
"February 16, 2021",5,Krizia helped me with my reuturn issue…,Krizia helped me with my reuturn issue and was so helpful!
"February 16, 2021",1,Poor service,Poor serviceSpent £400 on clothing. 2 items came creased and had been worn: returned and wanted an exchange. Told I had to re order at full price and sale price wouldn’t be honoured.
"February 16, 2021",1,SHIPPING LOGISTICS IS FAILING,"Dear ASOS TEAM, You should work on Shipping Logistics since it is not working. You should be aware of shipping issues and contact the customer to keep them inform about any inconveniences. That way the customer can decide in time if they want refund or replacement before half of the items are sold out. I placed an order and it was never updated its tracking history. I kept reaching out through ASOS CHAT and they kept telling me the order will arrive soon even when it was already late for date expected to arrive. 13 DAYS after, I contacted back ASOS CHAT and they told me I could have a replacement or refund, not only I had to contact them for information of my order, but because of the time delay most of the items in my order were now out of stock. A week after I reach  out for a previous order and they told me they found the lost order and both are on the way. It’s been a month and I have received none of my two orders. Nor I can request a refund because they ask me to wait until  tracking history doesn’t update for a couple of days in a row. Recommendation: don’t order from ASOS ."
"February 16, 2021",5,Very helpful and responsive,Very helpful and responsive.  Excellent experience.
"February 16, 2021",5,RhainierJohn was fantastic,"RhainierJohn was fantastic. Kind, understanding, and quick in his response and ability to rectify this unfortunate situation!"
"February 16, 2021",5,Return/Refund,"Had an issue with a missing return/refund, resolved within mins. A* customer service."
"February 16, 2021",5,These guys are the real deal,"These guys are the real deal, amazing customer service, great prices and clothing quality!"
"February 16, 2021",5,Quick and efficient,"Cristina was so helpful with my query. She didn’t keep me waiting like another sales advisor had done before, much quicker and efficient"
"February 15, 2021",5,Excellent customer service,Excellent customer service. I was connected with a representative in a timely manner and she was able to quickly resolve my issue!
"February 15, 2021",5,Help with refund,"Trina was really helpful, answered my questions patiently with kindness. Told me she applied for my refund which was missing over a month now."
"February 15, 2021",5,Carissa was exceptional when handelling…,"Carissa was exceptional when handelling my order, she was so efficient!"
"February 15, 2021",5,Fast and Easy!!!!,Erwin assisted me with a loss package. he was extremely helpful and I am very happy with my experience using the chat function on the Asos website!
"February 15, 2021",5,Couldn't be happier.,"This was my first order with Asos and when the three items arrived unfortunately one was damaged. I contacted their customer services and they were pretty awesome. Net result is that I fully intend to place an order with them again, especially as they stock several of my favourite brands. Thanks again, James!"
"February 15, 2021",1,I had a gift card given to me for my…,"I had a gift card given to me for my birthday which I added to my account.  The voucher disappeared after 12 months and when I tried to re add it, it said it already existed but it wasn’t there.  I took my query up with customer service who said it would be 48 hrs to get back to me, so that’s me now waiting to place an order for at least 48 hrs!!  Not the best first experience!!"
"February 15, 2021",5,roslyn was amazing!,roslyn was amazing!! super helpful and patient
"February 15, 2021",1,Absolute joke!,"Absolute joke!Placed and order! (4items) for a friends birthday.Upon delivery, packages was opened and only 1  item in there! (All on cctv)I pay for next day service (premium) But when I told asos of the issue they tell me it will take 2-6days to replace??So they can take your money straight away, but when there’s an issue they put their concrete boots on and drag their heels. Absolute despicable service!!!"
"February 15, 2021",5,Janine was an AMAZING representative to work with,"Janine was an amazing representative to work with. I think she sensed my stress when my wedding shoes still had not arrived, but she helped clear the problem. A truly wonderful experience working with Janine!"
"February 15, 2021",5,Quick response,"Good customer service, quick response and positive outcome"
"February 15, 2021",5,ASOS,"My parcel was delayed however, the teams at ASOS started an investigation and resolved the problem within a week"
"February 15, 2021",5,Very impressed by the quick,"Very impressed by the quick, easy and helpful service received when trying to sort out a refund"
"February 15, 2021",5,Excellent service,"Excellent service, polite, prompt and very attentive. Turned my experience around despite the initial order issue.  An asset to ASOSNeeds a promotion"
