Date,Rating,Title,Review
"November 22, 2019",1,Very bad costumer support,"Very bad costumer support . Lately they are making mistakes on the orders , this is the second time that they are sending me the wrong item. I was waiting for about 15 minutes to chat with costumer service, because they do not provide a phone number like all other sites, and I asked how can we resolve the issue and send me the right item with out having to wait all this standard delivery time frame AGAIN, since it was a mistake from asos end . He replied like a machine , like I was communicating with a computer , apologizing and explaining to me the return procedure like I didn't know.. I'm shopping for years from Asos . Thanks for the big help and your excellent costumer support team asos."
"November 22, 2019",5,Amy sorted my issues within minutes,Amy sorted my issues within minutes. Definatley recommend!
"November 22, 2019",5,Dwayne was very helpful in resolving my…,Dwayne was very helpful in resolving my issue
"November 22, 2019",5,Navpreet really helped with my delivery…,"Navpreet really helped with my delivery issues, thank you so much. Fantastic customer service and a credit to your company"
"November 22, 2019",1,Customer Care? You need to change the name!,"I have had an ongoing issue with ASOS for quite some months. The discount codes never work for me and I pay for premier delivery and that hasn’t worked either. I have called customer care - and head office, when you press option 2 for head office it takes you right back to customer care! Customer care do not care about their customers! I have also emailed, instant chatted and used Facebook messenger, begging them all to help me. 4 months later, I am no better off and I have missed three 25% off discount codes. I actually cried on the phone in frustration and was promised a solution. Still waiting.... I wouldn’t EVER recommend using ASOS. This kind of aggravation just isn’t worth it."
"November 22, 2019",1,HORRIBLE Customer Service,"Absolutely horrendous experience with everyone involved in this company. They refuse to take blame for their mistakes or offer any kind of help to fix their mistakes. I ordered a jacket from this site and the photo was in mid wash, the color was in mid wash, AND under product details it said ""mid wash finish"". the product name however, was ASOS jacket in light wash. Obviously VERY confusing, but THREE separate places were telling me mid wash. Of course, it comes in and it's light wash. I tried speaking to their customer service and the first time she told me ""This was not a maufacturing error, this was a user error and we change the fact that you ordered the wrong item"" !! Again, I understand that the product name had light wash in it, but the product details, photo, and color option were ALL mid wash!! This was not user error, this was an error on the part of the company. Immediately after I received that message she closed the conversation so I could no longer respond. So, I tried contacting them again, really all I wanted was to swap this jacket for a mid wash one. Well, this one also tells me it's my fault and shows me the correct item I should have ordered for mid wash. Except this one is $35 and my original one I ordered was only $25! And, my original was placed in part of a bigger order in which I received free shipping. So I originally paid $25 and free shipping, and now they're telling me it's my fault and to fix it I have to pay $35 PLUS shipping! BUT to make it worse, I already found the ""mid wash variant"" on their website (exact same product name and colors and everything) BUT FOR $28.50. So not only are they telling me that in order to get the one I want, I'll have to just repurchase a more expensive listing, but they are giving me a MORE expensive listing than their website even shows!! They absolutely refused to do an exchange, price match, give me a free shipping code, etc, anything at all. Just kept repeating this is my fault for ordering the wrong item (which I stand by that I did NOT. they listed the wrong item)"
"November 22, 2019",5,SOMER-LILY was very attentive and quick…,SOMER-LILY was very attentive and quick with a response. Thank you for you help.
"November 22, 2019",5,Prompt Service!! Helped me so much.,Prompt Service. Smooth and Effective.
"November 22, 2019",5,Very good,Very helpful and good
"November 22, 2019",5,Very quick and helpful to resolve…,Very quick and helpful to resolve refund issue. The agent was very friendly and polite.
"November 22, 2019",5,Goodgood,Good good service quality and service marketing communications staff
"November 22, 2019",1,Bad Delivery and customer exeriance - Callum was no help!!!!!,Very bad customer experience with delivery. After paying for next day delivery and prime membership on Wednesday it is now Friday and they are now telling me after i chased it that my delivery wont be with me till next Wednesday. Customer Service Callum wasn't very interested at first and I had to ask him to look into it after he just said sorry to hear you haven't received it yet. Following looking into it he told me it wont be with me till next Wednesday and there was nothing he could do. He wouldn't even refund my delivery or give me any compensation for the service.Very disappointing as wanted it for the weekend (hence why i paid more for delivery) and now i'm going to have to go to the shops anyway to buy something.WASTE OF TIME AND MONEY!
"November 22, 2019",1,Late Delivery and No help from Customer Service,Stated on e app that item will arrive by 20th Nov 19. Item was purchased during the 11.11 sale. Did not get any help from the help centre. No tracking number given and i was told to check with my local courier. Shouldnt the checking be on their part?? Wasnt helpful at all as i dont know which local courier they using. So i just hv to wait and get back to them on 3 Dec should the item has yet to be delivered.
"November 22, 2019",5,Customer service,"Mihaela helped me very fast, good service!"
"November 22, 2019",5,Amara was very helpful with my faulty…,Amara was very helpful with my faulty item
"November 22, 2019",5,Qasim was really patient (and prompt)…,Qasim was really patient (and prompt) when answering my questions. Really very thankful as I’m an ASOS newbie here!
"November 22, 2019",5,Very helpful with my returns that had…,"Very helpful with my returns that had not yet been received by asos after a couple weeks. They told me that despite the fact they hadn't received them back, they could see that I had returned them from tracking so gave me a full refund. Very satisfied with their help and ease of sorting the issue."
"November 22, 2019",5,Tamara was so helpful in answering my…,Tamara was so helpful in answering my questions! Took the time to provide me with a clear and informative answer.  I really appreciated it!
"November 22, 2019",5,Fast responses and understanding of the…,Fast responses and understanding of the matter
"November 22, 2019",5,Quick and easy fix to my issue,"Quick and easy fix to my issue, polite and professional! Communication was great 👍"
"November 22, 2019",5,The person chatting with me was so kind…,The person chatting with me was so kind and so helpful!
"November 22, 2019",1,Unable to exchange a size without…,Unable to exchange a size without paying the higher price without discount would be reluctant to buy again to be honest
"November 22, 2019",5,Super helpful I am always happy with…,Super helpful I am always happy with their services
"November 22, 2019",5,Daisy helped me with my refund enquiry…,Daisy helped me with my refund enquiry quickly and efficiently.
"November 22, 2019",5,Excellent,very friendly in answering questions and helping
"November 22, 2019",5,I love this store for good clothes and…,I love this store for good clothes and excellent client service.
"November 22, 2019",1,Been waiting for the replacement of my…,Been waiting for the replacement of my missing items for 3 days. Totally unacceptable
"November 22, 2019",5,Qasim was very helpful to me and solved…,Qasim was very helpful to me and solved all my problems with the missing item and the refunds.
"November 22, 2019",5,Great service,"Suzanne from the customer service team was helpful, responsive and friendly"
"November 22, 2019",5,Customer services,"Contacted Paige at customer services and she was more than helpful, sorted my delivery problems quickly and readily."
"November 22, 2019",5,Mihaela - Gerda,"It was very nice, helpful, quickly and answer for all my questions!"
"November 22, 2019",5,The Asos team where quick and efficient…,The Asos team where quick and efficient when dealing with my returns issue
"November 22, 2019",5,Great customer service,Alycia was so helpful with a lost return and was able to issue a refund. Great customer service.
"November 22, 2019",5,Lovely helpful service from Anita,"Lovely helpful service from Anita, straight forward and helped me sort out the issue I had with my order"
"November 22, 2019",5,Rem was rather helpful and solved my…,Rem was rather helpful and solved my issue quickly and successfully
